mean_negative_RMSE,rank_cv_score,n_neighbors
-0.7040340980530878,1,11
-0.7058913260599702,2,16
-0.7072275882136334,3,26
-0.7075426443120243,4,21
-0.7079872026600883,5,6
-0.7086833718863783,6,31
-0.7097171698561908,7,36
-0.7098301734635226,8,41
-0.7113746200827067,9,46
-0.8065617227323078,10,1
