mean_negative_RMSE,rank_cv_score,alpha
-0.7306636967564109,1,10.0
-0.730779179076137,2,1.0
-0.7307984025018825,3,0.1
-0.730800422000814,4,0.01
-0.7308006249471742,5,0.001
-0.7312388431232723,6,100.0
-0.7396998498249613,7,1000.0
